,pcfg_jed,pcfg_odz,pcfg_prec,pcfg_f1,pcfg_isti,cnn_jed,cnn_odz,cnn_prec,cnn_f1,cnn_isti
tdbD00003949,0.8918918918918919,0.7619047619047619,0.6666666666666666,0.7111111111111111,False,1.0,1.0,1.0,1.0,True
tdbD00003961,1.0,1.0,1.0,1.0,True,1.0,1.0,1.0,1.0,True
tdbD00003964,0.7368421052631579,0.8,0.6956521739130435,0.7441860465116279,False,1.0,1.0,1.0,1.0,True
tdbD00003971,0.948051948051948,1.0,0.9130434782608695,0.9545454545454545,False,1.0,1.0,1.0,1.0,True
tdbD00003983,1.0,1.0,1.0,1.0,True,1.0,1.0,1.0,1.0,True
tdbD00003994,0.9736842105263158,0.9523809523809523,0.9523809523809523,0.9523809523809523,False,1.0,1.0,1.0,1.0,True
tdbD00004013,0.9473684210526315,1.0,0.9130434782608695,0.9545454545454545,False,1.0,1.0,1.0,1.0,True
tdbD00004014,0.7236842105263158,0.75,0.625,0.6818181818181818,False,1.0,1.0,1.0,1.0,True
tdbD00004015,0.9473684210526315,1.0,0.9130434782608695,0.9545454545454545,False,1.0,1.0,1.0,1.0,True
tdbD00004035,0.868421052631579,0.8,0.8,0.8000000000000002,False,1.0,1.0,1.0,1.0,True
tdbD00004036,0.7105263157894737,0.7619047619047619,0.6956521739130435,0.7272727272727272,False,1.0,1.0,1.0,1.0,True
tdbD00004039,1.0,1.0,1.0,1.0,True,1.0,1.0,1.0,1.0,True
tdbD00004043,0.9459459459459459,1.0,0.9130434782608695,0.9545454545454545,False,0.9459459459459459,0.9047619047619048,1.0,0.9500000000000001,False
tdbD00004052,1.0,1.0,1.0,1.0,True,1.0,1.0,1.0,1.0,True
tdbD00004053,0.9473684210526315,1.0,0.9130434782608695,0.9545454545454545,False,1.0,1.0,1.0,1.0,True
tdbD00004058,1.0,1.0,1.0,1.0,True,1.0,1.0,1.0,1.0,True
tdbD00004060,1.0,1.0,1.0,1.0,True,1.0,1.0,1.0,1.0,True
tdbD00004070,0.8356164383561644,0.47368421052631576,0.47368421052631576,0.47368421052631576,False,0.8904109589041096,0.7894736842105263,1.0,0.8823529411764706,False
tdbD00004071,0.922077922077922,0.9545454545454546,0.9130434782608695,0.9333333333333332,False,1.0,1.0,1.0,1.0,True
tdbD00004077,0.9473684210526315,1.0,0.9130434782608695,0.9545454545454545,False,1.0,1.0,1.0,1.0,True
tdbD00004088,0.7123287671232876,0.5714285714285714,0.6,0.5853658536585366,False,1.0,1.0,1.0,1.0,True
tdbD00004092,0.8888888888888888,0.7619047619047619,0.7272727272727273,0.7441860465116279,False,1.0,1.0,1.0,1.0,True
tdbD00004103,1.0,1.0,1.0,1.0,True,1.0,1.0,1.0,1.0,True
tdbD00004105,0.8611111111111112,0.7619047619047619,0.8,0.7804878048780488,False,1.0,1.0,1.0,1.0,True
tdbD00004110,0.8888888888888888,0.7619047619047619,0.7272727272727273,0.7441860465116279,False,1.0,1.0,1.0,1.0,True
tdbD00004111,1.0,1.0,1.0,1.0,True,1.0,1.0,1.0,1.0,True
tdbD00004114,1.0,1.0,1.0,1.0,True,1.0,1.0,1.0,1.0,True
tdbD00004140,0.8611111111111112,0.7142857142857143,0.6818181818181818,0.6976744186046512,False,1.0,1.0,1.0,1.0,True
tdbD00004152,0.918918918918919,0.9473684210526315,0.9,0.9230769230769231,False,1.0,1.0,1.0,1.0,True
tdbD00004168,0.8108108108108109,0.6,0.5714285714285714,0.5853658536585366,False,1.0,1.0,1.0,1.0,True
tdbD00004180,0.7162162162162162,0.5714285714285714,0.5714285714285714,0.5714285714285714,False,1.0,1.0,1.0,1.0,True
tdbD00004188,1.0,1.0,1.0,1.0,True,1.0,1.0,1.0,1.0,True
tdbD00004231,0.7746478873239436,0.6666666666666666,0.8235294117647058,0.7368421052631577,False,1.0,1.0,1.0,1.0,True
tdbD00004257,0.7638888888888888,0.55,0.5238095238095238,0.5365853658536585,False,1.0,1.0,1.0,1.0,True
tdbD00004282,0.971830985915493,0.9444444444444444,1.0,0.9714285714285714,False,1.0,1.0,1.0,1.0,True
tdbD00004290,0.7162162162162162,0.5714285714285714,0.5714285714285714,0.5714285714285714,False,1.0,1.0,1.0,1.0,True
tdbD00004291,1.0,1.0,1.0,1.0,True,1.0,1.0,1.0,1.0,True
tdbD00004295,0.7297297297297297,0.6,0.6,0.6,False,1.0,1.0,1.0,1.0,True
tdbD00004322,1.0,1.0,1.0,1.0,True,0.9733333333333334,0.9523809523809523,1.0,0.975609756097561,False
tdbD00004327,0.68,0.5714285714285714,0.5454545454545454,0.5581395348837208,False,1.0,1.0,1.0,1.0,True
tdbD00004329,0.8378378378378378,0.85,0.7727272727272727,0.8095238095238095,False,0.972972972972973,1.0,0.9523809523809523,0.975609756097561,False
tdbD00004336,1.0,1.0,1.0,1.0,True,1.0,1.0,1.0,1.0,True
tdbD00004341,0.704225352112676,0.5714285714285714,0.5714285714285714,0.5714285714285714,False,1.0,1.0,1.0,1.0,True
tdbD00004349,0.7777777777777778,0.6666666666666666,0.8235294117647058,0.7368421052631577,False,1.0,1.0,1.0,1.0,True
tdbD00004356,0.8055555555555556,0.7142857142857143,0.7894736842105263,0.7500000000000001,False,1.0,1.0,1.0,1.0,True
tdbD00004361,0.625,0.45,0.5294117647058824,0.48648648648648646,False,1.0,1.0,1.0,1.0,True
tdbD00004364,0.75,0.6190476190476191,0.8125,0.7027027027027026,False,1.0,1.0,1.0,1.0,True
tdbD00004379,1.0,1.0,1.0,1.0,True,1.0,1.0,1.0,1.0,True
tdbD00004381,1.0,1.0,1.0,1.0,True,1.0,1.0,1.0,1.0,True
tdbD00004385,1.0,1.0,1.0,1.0,True,1.0,1.0,1.0,1.0,True
tdbD00004394,0.8947368421052632,0.8095238095238095,1.0,0.8947368421052632,False,1.0,1.0,1.0,1.0,True
tdbD00004397,0.8701298701298701,0.7619047619047619,1.0,0.8648648648648648,False,1.0,1.0,1.0,1.0,True
tdbD00004410,0.8961038961038961,0.8095238095238095,1.0,0.8947368421052632,False,1.0,1.0,1.0,1.0,True
tdbD00004436,1.0,1.0,1.0,1.0,True,1.0,1.0,1.0,1.0,True
tdbD00004458,0.8888888888888888,0.8095238095238095,1.0,0.8947368421052632,False,1.0,1.0,1.0,1.0,True
tdbD00004471,0.8873239436619719,0.8095238095238095,1.0,0.8947368421052632,False,1.0,1.0,1.0,1.0,True
tdbD00004479,1.0,1.0,1.0,1.0,True,1.0,1.0,1.0,1.0,True
tdbD00004483,1.0,1.0,1.0,1.0,True,1.0,1.0,1.0,1.0,True
tdbD00004504,1.0,1.0,1.0,1.0,True,1.0,1.0,1.0,1.0,True
tdbD00004509,0.8961038961038961,0.8095238095238095,1.0,0.8947368421052632,False,1.0,1.0,1.0,1.0,True
tdbD00004512,0.8666666666666667,0.8095238095238095,0.7727272727272727,0.7906976744186046,False,1.0,1.0,1.0,1.0,True
tdbD00004517,1.0,1.0,1.0,1.0,True,1.0,1.0,1.0,1.0,True
tdbD00004581,0.5833333333333334,0.3157894736842105,0.3333333333333333,0.3243243243243243,False,1.0,1.0,1.0,1.0,True
tdbD00004594,0.7777777777777778,0.8,0.8,0.8000000000000002,False,1.0,1.0,1.0,1.0,True
tdbD00004608,0.8157894736842105,0.7142857142857143,0.8333333333333334,0.7692307692307692,False,1.0,1.0,1.0,1.0,True
tdbD00004614,0.9726027397260274,0.9545454545454546,1.0,0.9767441860465117,False,1.0,1.0,1.0,1.0,True
tdbD00004629,0.9733333333333334,0.9523809523809523,1.0,0.975609756097561,False,1.0,1.0,1.0,1.0,True
tdbD00004630,1.0,1.0,1.0,1.0,True,1.0,1.0,1.0,1.0,True
